Course Code,Link,Sec,Call Number,Credits,Title,Days,Time,Faculty
COMS W1002,http://columbia.edu/cu/bulletin/uwb/subj/COMS/W1002-20223-001/,001,10798,4,CONTEXTS: ART OR ECON,TR,1:10pm-2:25pm,Cannon  Adam H
COMS W1002,http://columbia.edu/cu/bulletin/uwb/subj/COMS/W1002-20223-002/,002,10984,4,CONTEXTS: SOC SCI,TR,2:40pm-3:55pm,Cannon  Adam H
COMS W1004,http://columbia.edu/cu/bulletin/uwb/subj/COMS/W1004-20223-001/,001,10985,3,INTRO-COMPUT SCI/PROG IN,MW,2:40pm-3:55pm,Blaer  Paul S
COMS W1004,http://columbia.edu/cu/bulletin/uwb/subj/COMS/W1004-20223-002/,002,10986,3,INTRO-COMPUT SCI/PROG IN,MW,5:40pm-6:55pm,Blaer  Paul S
ENGI E1006,http://columbia.edu/cu/bulletin/uwb/subj/ENGI/E1006-20223-001/,001,11062,3,INTRO TO COMP FOR ENG/APP,MW,10:10am-11:25,Bauer  Daniel
COMS W1012,http://columbia.edu/cu/bulletin/uwb/subj/COMS/W1012-20223-001/,001,10987,0,COMPUTING IN ART,F,9:00am-9:50am,Cannon  Adam H
COMS W1012,http://columbia.edu/cu/bulletin/uwb/subj/COMS/W1012-20223-002/,002,10988,0,COMPUTING IN ART,F,1:00pm-1:50pm,Cannon  Adam H
COMS W1012,http://columbia.edu/cu/bulletin/uwb/subj/COMS/W1012-20223-003/,003,10989,0,COMPUTING IN SOC SCI,R,7:10pm-8:00pm,Cannon  Adam H
COMS W1012,http://columbia.edu/cu/bulletin/uwb/subj/COMS/W1012-20223-004/,004,10990,0,COMPUTING IN SOC SCI,R,5:40pm-6:30pm,Cannon  Adam H
COMS W1012,http://columbia.edu/cu/bulletin/uwb/subj/COMS/W1012-20223-005/,005,10991,0,COMPUTING IN SOC SCI,F,11:00am-11:50a,Cannon  Adam H
COMS W1012,http://columbia.edu/cu/bulletin/uwb/subj/COMS/W1012-20223-006/,006,10992,0,COMPUTING IN SOC SCI,F,2:00pm-2:50pm,Cannon  Adam H
COMS W1012,http://columbia.edu/cu/bulletin/uwb/subj/COMS/W1012-20223-007/,007,10993,0,COMPUTING IN ECON,R,7:10pm-8:00pm,Cannon  Adam H
COMS W1012,http://columbia.edu/cu/bulletin/uwb/subj/COMS/W1012-20223-008/,008,10994,0,COMPUTING IN ECON,F,11:00am-11:50a,Cannon  Adam H
COMS W1012,http://columbia.edu/cu/bulletin/uwb/subj/COMS/W1012-20223-009/,009,10995,0,COMPUTING IN ECON,F,2:00pm-2:50pm,Cannon  Adam H
COMS W3107,http://columbia.edu/cu/bulletin/uwb/subj/COMS/W3107-20223-001/,001,10997,3,Clean Object-Oriented Des,MW,4:10pm-5:25pm,Kender  John R
COMS W3134,http://columbia.edu/cu/bulletin/uwb/subj/COMS/W3134-20223-001/,001,10998,3,DATA STRUCTURES IN JAVA,MW,4:10pm-5:25pm,Borowski  Brian
COMS W3134,http://columbia.edu/cu/bulletin/uwb/subj/COMS/W3134-20223-002/,002,10999,3,DATA STRUCTURES IN JAVA,MW,5:40pm-6:55pm,Borowski  Brian
COMS W3136,http://columbia.edu/cu/bulletin/uwb/subj/COMS/W3136-20223-001/,001,11000,4,ESSENTIAL DATA STRUCTURES,TR,5:40pm-6:55pm,Paine  Timothy K
COMS W3157,http://columbia.edu/cu/bulletin/uwb/subj/COMS/W3157-20223-001/,001,11001,4,ADVANCED PROGRAMMING,TR,4:10pm-5:25pm,Edwards  Stephen A
COMS W3203,http://columbia.edu/cu/bulletin/uwb/subj/COMS/W3203-20223-001/,001,11002,4,DISCRETE MATHEMATICS,MW,1:10pm-2:25pm,Dear  Tony B
COMS W3251,http://columbia.edu/cu/bulletin/uwb/subj/COMS/W3251-20223-001/,001,11003,4,COMPUTATIONAL LINEAR ALGE,TR,10:10am-11:25,Hsu  Daniel
COMS W3261,http://columbia.edu/cu/bulletin/uwb/subj/COMS/W3261-20223-001/,001,11004,3,COMPUTER SCIENCE THEORY,MW,8:40am-9:55am,Malkin  Tal
COMS W3261,http://columbia.edu/cu/bulletin/uwb/subj/COMS/W3261-20223-002/,002,11005,3,COMPUTER SCIENCE THEORY,MW,10:10am-11:25,Malkin  Tal
COMS W3410,http://columbia.edu/cu/bulletin/uwb/subj/COMS/W3410-20223-001/,001,11006,3,COMPUTERS AND SOCIETY,W,4:10pm-6:40pm,Baecker  Ronald
CSEE W3827,http://columbia.edu/cu/bulletin/uwb/subj/CSEE/W3827-20223-001/,001,11054,3,FUNDAMENTALS OF COMPUTER,TR,11:40am-12:55,Kim  Martha A
CSEE W3827,http://columbia.edu/cu/bulletin/uwb/subj/CSEE/W3827-20223-002/,002,11055,3,FUNDAMENTALS OF COMPUTER,TR,1:10pm-2:25pm,Kim  Martha A
COMS W4111,http://columbia.edu/cu/bulletin/uwb/subj/COMS/W4111-20223-001/,001,11007,3,INTRODUCTION TO DATABASES,TR,1:10pm-2:25pm,Gravano  Luis
COMS W4111,http://columbia.edu/cu/bulletin/uwb/subj/COMS/W4111-20223-002/,002,11008,3,INTRODUCTION TO DATABASES,TR,10:10am-11:25,Wu  Eugene
COMS W4111,http://columbia.edu/cu/bulletin/uwb/subj/COMS/W4111-20223-003/,003,11009,3,INTRODUCTION TO DATABASES,F,10:10am-12:40p,Ferguson  Donald F
COMS W4111,http://columbia.edu/cu/bulletin/uwb/subj/COMS/W4111-20223-H02/,H02,11010,3,INTRODUCTION TO DATABASES,TR,10:10am-11:25,Wu  Eugene
COMS W4113,http://columbia.edu/cu/bulletin/uwb/subj/COMS/W4113-20223-001/,001,11011,3,FUND-LARGE-SCALE DIST SYS,F,10:10am-12:40p,Geambasu  Roxana
COMS W4115,http://columbia.edu/cu/bulletin/uwb/subj/COMS/W4115-20223-001/,001,11012,3,PROGRAMMING LANG & TRANSL,MW,4:10pm-5:25pm,Gu  Ronghui
COMS W4118,http://columbia.edu/cu/bulletin/uwb/subj/COMS/W4118-20223-001/,001,13030,3,Operating Systems I,TR,8:40am-9:55am,Nieh  Jason
COMS W4152,http://columbia.edu/cu/bulletin/uwb/subj/COMS/W4152-20223-001/,001,13219,3,Engineering Software-as-a,TR,8:40am-9:55am,Yang  Junfeng
COMS W4156,http://columbia.edu/cu/bulletin/uwb/subj/COMS/W4156-20223-001/,001,11013,3,ADVANCED SOFTWARE ENGINEE,TR,10:10am-11:25,Kaiser  Gail E
COMS W4160,http://columbia.edu/cu/bulletin/uwb/subj/COMS/W4160-20223-001/,001,16850,3,COMPUTER GRAPHICS,TR,6:40pm-7:55pm,L      LECTURE  Computer Science
COMS W4170,http://columbia.edu/cu/bulletin/uwb/subj/COMS/W4170-20223-001/,001,11014,3,USER INTERFACE DESIGN,MW,2:40pm-3:55pm,Smith  Brian A
COMS W4181,http://columbia.edu/cu/bulletin/uwb/subj/COMS/W4181-20223-001/,001,11015,3,SECURITY I,MW,1:10pm-2:25pm,Jana  Suman
COMS W4186,http://columbia.edu/cu/bulletin/uwb/subj/COMS/W4186-20223-001/,001,11016,3,MALWARE ANALYSIS&REVERSE,R,4:10pm-6:40pm,Sikorski  Michael S
CSOR W4231,http://columbia.edu/cu/bulletin/uwb/subj/CSOR/W4231-20223-001/,001,11058,3,ANALYSIS OF ALGORITHMS I,TR,11:40am-12:55,Yannakakis  Mihalis
CSOR W4231,http://columbia.edu/cu/bulletin/uwb/subj/CSOR/W4231-20223-002/,002,11059,3,ANALYSIS OF ALGORITHMS I,MW,10:10am-11:25,Papadimitriou  Christos H
